,city,clouds,country,humidity,lat,lng,tempMax,windDeg,windSpeed
301,Pisco,0,PE,30,-13.71,-76.2,71.6,300.0,8.05
302,Port Elizabeth,0,ZA,87,-33.92,25.57,53.6,230.0,2.24
303,Hilo,90,US,79,19.71,-155.08,78.08,78.5031,11.7
304,Busselton,0,AU,100,-33.64,115.35,56.36,203.003,9.13
305,Esperance,100,AU,44,-33.86,121.89,64.19,33.0031,10.69
306,Turukhansk,76,RU,80,65.8,87.96,47.27,177.503,11.7
307,Rikitea,24,PF,100,-23.12,-134.97,71.03,158.003,8.57
308,Mecca,0,SA,63,21.43,39.83,84.26,267.003,3.53
309,Flin Flon,75,CA,44,54.77,-101.88,37.4,60.0,5.82
310,Longyearbyen,75,SJ,69,78.22,15.64,33.8,80.0,19.46
311,Ushuaia,75,AR,64,-54.81,-68.31,37.4,230.0,20.8
312,Atuona,80,PF,100,-9.8,-139.03,78.95,86.5031,11.25
313,Tuktoyaktuk,75,CA,100,69.44,-133.03,32.0,40.0,6.93
314,Puerto Ayora,20,EC,54,-0.74,-90.35,80.6,120.0,9.17
315,Jumla,100,NP,95,29.28,82.18,37.46,77.5031,2.53
316,Jamestown,0,SH,99,-15.94,-5.72,68.06,111.003,19.86
317,Los Llanos de Aridane,40,ES,73,28.66,-17.92,75.2,30.0,16.11
318,Puerto Ayora,20,EC,54,-0.74,-90.35,80.6,120.0,9.17
319,Rikitea,24,PF,100,-23.12,-134.97,71.03,158.003,8.57
320,Chokurdakh,92,RU,100,70.62,147.9,33.14,3.00311,3.65
321,Port Elizabeth,0,ZA,87,-33.92,25.57,53.6,230.0,2.24
322,Hithadhoo,68,MV,100,-0.6,73.08,84.44,127.003,8.68
323,Barcelona,80,PH,100,12.87,124.14,78.41,310.003,6.33
324,Nikolskoye,20,RU,87,59.7,30.79,53.6,180.0,6.71
325,Norman Wells,40,CA,44,65.28,-126.83,41.0,140.0,6.93
326,Severo-Kurilsk,44,RU,100,50.68,156.12,43.76,279.503,5.1
327,Portland,0,AU,90,-33.35,149.98,42.23,232.503,3.76
328,Georgetown,48,SH,100,-7.93,-14.42,75.98,120.003,16.51
329,Hermanus,0,ZA,83,-34.42,19.24,50.24,166.003,3.53
330,East London,20,ZA,76,-33.02,27.91,57.2,80.0,4.7
331,Atuona,80,PF,100,-9.8,-139.03,78.95,86.5031,11.25
332,Butaritari,0,KI,100,3.07,172.79,84.71,199.503,10.69
333,Qaanaaq,0,GL,100,77.48,-69.36,19.73,100.003,11.92
334,Hithadhoo,68,MV,100,-0.6,73.08,84.44,127.003,8.68
335,Lieksa,92,FI,79,63.32,30.02,52.67,208.503,13.04
336,Busselton,0,AU,100,-33.64,115.35,56.36,203.003,9.13
337,Punta Arenas,75,CL,59,-53.16,-70.91,37.4,130.0,9.17
338,Moron,0,MN,80,47.38,110.32,35.39,337.003,7.45
339,Rikitea,24,PF,100,-23.12,-134.97,71.03,158.003,8.57
340,Nikolskoye,20,RU,87,59.7,30.79,53.6,180.0,6.71
341,Provideniya,0,RU,98,64.42,-173.23,44.39,40.0031,24.79
342,Bethel,90,US,96,60.79,-161.76,48.02,180.0,17.22
343,Albany,0,AU,93,-35.02,117.88,53.66,67.5031,7.78
344,Dikson,92,RU,89,73.51,80.55,41.96,197.503,17.52
345,Anito,48,PH,100,12.45,125.29,80.21,328.003,11.92
346,Rikitea,24,PF,100,-23.12,-134.97,71.03,158.003,8.57
347,Ushuaia,75,AR,64,-54.81,-68.31,37.4,230.0,20.8
348,Kisanga,0,TZ,27,-5.57,32.88,77.51,95.5031,14.05
349,Dikson,92,RU,89,73.51,80.55,41.96,197.503,17.52
350,Georgetown,48,SH,100,-7.93,-14.42,75.98,120.003,16.51
351,Ponta do Sol,0,CV,98,17.2,-25.09,79.4,53.5031,16.96
352,Tasiilaq,20,GL,59,65.61,-37.64,37.4,220.0,5.82
353,Gigmoto,76,PH,100,13.78,124.39,78.41,352.503,8.01
354,Touros,8,BR,67,-5.2,-35.46,83.63,124.503,17.07
355,Bluff,12,NZ,93,-46.6,168.33,52.76,304.003,23.44
356,Kulu,0,TR,41,39.09,33.08,61.04,299.503,6.33
357,Bani Walid,0,LY,34,31.76,14.0,79.94,67.0031,4.99
358,Tasiilaq,20,GL,59,65.61,-37.64,37.4,220.0,5.82
359,Qaanaaq,0,GL,100,77.48,-69.36,19.73,100.003,11.92
360,Moyale,0,KE,87,3.52,39.06,64.01,124.003,2.53
361,Yellowknife,20,CA,52,62.45,-114.38,46.4,180.0,16.11
362,Saskylakh,64,RU,93,71.97,114.09,29.81,279.003,9.46
363,Rikitea,24,PF,100,-23.12,-134.97,71.03,158.003,8.57
364,Khanpur,0,PK,61,28.65,70.66,82.46,55.0031,9.8
365,Butaritari,0,KI,100,3.07,172.79,84.71,199.503,10.69
366,Ushuaia,75,AR,64,-54.81,-68.31,37.4,230.0,20.8
367,Leningradskiy,92,RU,97,69.38,178.42,41.33,60.0031,1.74
368,Tasiilaq,20,GL,59,65.61,-37.64,37.4,220.0,5.82
369,Atuona,80,PF,100,-9.8,-139.03,78.95,86.5031,11.25
370,Tuktoyaktuk,75,CA,100,69.44,-133.03,32.0,40.0,6.93
371,Sitka,0,US,70,37.17,-99.65,67.16,84.5031,4.65
372,Albany,0,AU,93,-35.02,117.88,53.66,67.5031,7.78
373,Bredasdorp,0,ZA,76,-34.53,20.04,53.6,210.0,3.36
374,Bronnitsy,0,RU,59,55.42,38.26,66.2,170.0,8.95
375,Cayenne,0,GF,59,4.94,-52.33,89.6,70.0,13.87
376,Glenwood Springs,1,US,14,39.55,-107.33,77.0,260.0,3.36
377,Barrow,1,US,47,39.51,-90.4,70.16,99.0031,8.23
